"","id","lat","lon","sea_level","rem1"
"1",11016,45.415,141.678333333333,3,"11903"
"2",11291,44.94,142.585,7,"11917"
"3",12442,43.7566666666667,142.371666666667,120,"12927"
"4",13181,44.3633333333333,141.7,8,"13907"
"5",13277,43.945,141.631666666667,24,"13915"
"6",14116,43.1483333333333,141.221666666667,5,"гн"
"9",15356,43.2116666666667,141.785,42,"15923"
"10",16091,43.1816666666667,141.015,25,"16903"
"11",16217,42.9,140.756666666667,176,"16917"
"12",16252,42.795,140.223333333333,33,"16918"
"13",17036,44.58,142.963333333333,14,"17903"
"14",17112,44.345,143.355,16,"17904"
"15",17341,44.0166666666667,144.278333333333,38,"17917"
"16",18273,43.33,145.585,25,"18917"
"17",19432,42.985,144.376666666667,5,"19950"
"20",20751,42.2933333333333,143.316666666667,32,"20965"
"21",21187,42.6233333333333,141.546666666667,6,"21913"
"22",21323,42.3116666666667,140.975,40,"21930"
"23",22327,42.1616666666667,142.776666666667,37,"22913"
"24",23232,41.8166666666667,140.753333333333,35,"23915"
"25",23281,41.77,140.821666666667,34,"23930"
"26",24217,41.8666666666667,140.123333333333,4,"24915"
"27",31111,41.2833333333333,141.21,3,"31903"
"28",31312,40.8216666666667,140.768333333333,3,"31913"
"29",31436,40.645,139.931666666667,66,"31923"
"32",32402,39.7166666666667,140.098333333333,6,"32927"
"33",33136,40.1483333333333,141.571666666667,290,"гн"
"34",33431,39.6983333333333,141.165,155,"33927"
"35",33472,39.6466666666667,141.965,43,"33933"
"36",33877,39.0633333333333,141.713333333333,37,"33947"
"37",34292,38.4266666666667,141.298333333333,43,"34913"
"38",34392,38.2616666666667,140.896666666667,39,"34917"
"39",35052,38.9083333333333,139.843333333333,3,"35955"
"40",35162,38.7566666666667,140.311666666667,105,"35907"
"43",36361,37.4883333333333,139.91,212,"36923"
"44",36667,37.1316666666667,140.215,355,"36937"
"47",40201,36.38,140.466666666667,29,"40900"
"48",40336,36.0566666666667,140.125,25,"40905"
"49",41166,36.7383333333333,139.5,1292,"41910"
"50",41277,36.5483333333333,139.868333333333,119,"41915"
"53",43056,36.15,139.38,30,"43905"
"54",43156,35.99,139.073333333333,232,"43900"
"57",44226,34.1233333333333,139.52,38,"гн"
"60",44301,27.0916666666667,142.19,3,"гн"
"61",44356,24.2883333333333,153.983333333333,7,"гн"
"62",50066,35.36,138.726666666667,3775,"гн"
"63",45147,35.7383333333333,140.856666666667,20,"45900"
"64",45212,35.6016666666667,140.103333333333,3,"45905"
"65",45371,35.15,140.311666666667,12,"гн"
"66",45401,34.9866666666667,139.865,6,"гн"
"67",46106,35.4383333333333,139.651666666667,39,"46900"
"68",49142,35.6666666666667,138.553333333333,273,"49900"
"69",49251,35.5,138.76,860,"49905"
"70",50261,35.0533333333333,138.521666666667,3,"гн"
"71",51106,35.1666666666667,136.965,51,"51900"
"72",51346,34.6283333333333,137.093333333333,6,"гн"
"73",52146,36.155,137.253333333333,560,"52913"
"74",52586,35.4,136.761666666667,13,"52940"
"75",53061,34.94,136.58,55,"гн"
"76",53112,34.7616666666667,136.141666666667,159,"гн"
"79",53378,34.0683333333333,136.193333333333,15,"гн"
"80",54157,38.0283333333333,138.24,6,"54900"
"81",54191,38.0916666666667,139.563333333333,33,"54905"
"84",54651,37.1066666666667,138.246666666667,13,"54937"
"85",55091,36.7916666666667,137.055,12,"55907"
"86",55102,36.7083333333333,137.201666666667,9,"55908"
"87",56052,37.39,136.895,5,"56903"
"88",56227,36.5883333333333,136.633333333333,6,"56907"
"89",57066,36.055,136.221666666667,9,"57903"
"90",57248,35.6533333333333,136.061666666667,2,"57913"
"91",60131,35.275,136.243333333333,87,"60915"
"92",61111,35.45,135.316666666667,2,"61905"
"97",63051,35.535,134.821666666667,3,"63905"
"98",63383,34.8383333333333,134.67,38,"гн"
"101",63571,34.31,134.848333333333,69,"гн"
"106",65121,34.0866666666667,135.425,240,"гн"
"107",65356,33.45,135.756666666667,68,"гн"
"108",66186,35.0633333333333,134.008333333333,146,"66920"
"111",67401,34.4466666666667,133.246666666667,2,"гн"
"114",67511,34.24,132.55,4,"гн"
"115",68022,36.2033333333333,133.333333333333,27,"68955"
"116",68132,35.4566666666667,133.065,17,"68960"
"117",68376,34.8966666666667,132.07,19,"гн"
"118",69006,35.5433333333333,133.235,2,"69910"
"119",69076,35.4333333333333,133.338333333333,7,"69930"
"120",69122,35.4866666666667,134.238333333333,7,"69940"
"123",72086,34.3183333333333,134.053333333333,9,"72900"
"126",73442,33.2266666666667,132.551666666667,2,"гн"
"127",74181,33.5666666666667,133.548333333333,1,"74900"
"130",74436,33.0783333333333,133.101666666667,3,"гн"
"131",81071,34.41,131.405,2,"гн"
"132",82136,33.6516666666667,130.693333333333,37,"гн"
"135",83137,33.3216666666667,130.928333333333,83,"гн"
"136",83216,33.235,131.618333333333,5,"83900"
"137",84072,34.1966666666667,129.291666666667,4,"гн"
"138",84171,33.36,129.55,58,"гн"
"139",84266,33.1583333333333,129.726666666667,4,"гн"
"140",84496,32.7333333333333,129.866666666667,27,"84900"
"143",84536,32.6933333333333,128.826666666667,25,"гн"
"146",86467,32.2166666666667,130.755,146,"гн"
"147",86491,32.1966666666667,130.026666666667,3,"гн"
"150",87376,31.9383333333333,131.413333333333,9,"87900"
"151",87426,31.73,131.081666666667,154,"гн"
"154",88061,32.0266666666667,130.2,40,"гн"
"155",88317,31.555,130.546666666667,4,"88905"
"156",88466,31.2716666666667,130.291666666667,30,"гн"
"157",88612,30.72,130.981666666667,25,"гн"
"158",88686,30.385,130.658333333333,37,"гн"
"159",88836,28.3783333333333,129.495,3,"гн"
"160",88971,27.4316666666667,128.705,27,"гн"
"161",91107,26.5933333333333,127.965,6,"гн"
"162",91146,26.3366666666667,126.803333333333,5,"гн"
"163",91197,26.2066666666667,127.686666666667,28,"гн"
"164",92011,25.8283333333333,131.228333333333,15,"гн"
"165",93041,24.7933333333333,125.278333333333,39,"гн"
"166",94017,24.4666666666667,123.01,30,"гн"
"167",94062,24.4266666666667,123.765,10,"гн"
"168",94081,24.3366666666667,124.163333333333,6,"гн"
"8",14163,43.06,141.326666666667,17,"гн"
"19",20432,42.9083333333333,143.223333333333,45,"гн"
"31",31602,40.5266666666667,141.521666666667,26,"гн"
"42",36127,37.7683333333333,140.435,88,"гн"
"46",36846,36.9633333333333,140.883333333333,5,"гн"
"52",42251,36.3866666666667,139.038333333333,112,"гн"
"56",44132,35.6916666666667,139.751666666667,20,"гн"
"59",44263,33.1033333333333,139.783333333333,74,"гн"
"78",53133,34.7216666666667,136.525,2,"гн"
"83",54232,37.8883333333333,139.048333333333,0,"гн"
"94",61286,35.0116666666667,135.735,36,"гн"
"96",62078,34.675,135.546666666667,1,"гн"
"100",63518,34.6816666666667,135.22,3,"гн"
"103",64036,34.6733333333333,135.831666666667,90,"гн"
"105",65042,34.2283333333333,135.163333333333,14,"гн"
"110",66408,34.66,133.915,3,"гн"
"113",67437,34.3983333333333,132.463333333333,3,"гн"
"122",71106,34.0666666666667,134.571666666667,2,"гн"
"125",73166,33.835,132.793333333333,41,"гн"
"129",74372,33.2466666666667,134.175,161,"гн"
"134",82182,33.5816666666667,130.376666666667,3,"гн"
"142",84519,32.7366666666667,130.25,870,"гн"
"145",86141,32.8216666666667,130.715,15,"гн"
"149",87141,32.5783333333333,131.633333333333,8,"гн"
"153",87492,31.5966666666667,131.408333333333,5,"гн"
